Index,Mean_Residual,Std_Residual,Min_Residual,Max_Residual,RMSE,Unbiased
NIFTY,-521.5802,464.0319,-1378.6623,250.1764,698.1199,FALSE
BANKNIFTY,124.5534,596.922,-1585.6737,1066.7729,609.7782,TRUE
