Date,Close,High,Low,Open,Repaired?,Volume
04-01-2010,5232.200195,5238.450195,5167.100098,5200.899902,FALSE,0
05-01-2010,5277.899902,5288.350098,5242.399902,5277.149902,FALSE,0
06-01-2010,5281.799805,5310.850098,5260.049805,5278.149902,FALSE,0
07-01-2010,5263.100098,5302.549805,5244.75,5281.799805,FALSE,0
08-01-2010,5244.75,5276.75,5234.700195,5264.25,FALSE,0
11-01-2010,5249.399902,5287.200195,5227.799805,5263.799805,FALSE,0
12-01-2010,5210.399902,5300.5,5200.950195,5251.100098,FALSE,0
13-01-2010,5233.950195,5239.200195,5169.549805,5212.600098,FALSE,0
14-01-2010,5259.899902,5272.850098,5232.5,5234.5,FALSE,0
15-01-2010,5252.200195,5279.850098,5242.450195,5259.899902,FALSE,0
18-01-2010,5274.850098,5292.5,5228.950195,5253.649902,FALSE,0
19-01-2010,5225.649902,5287.799805,5218.649902,5274.200195,FALSE,0
20-01-2010,5221.700195,5256.700195,5201.399902,5226.100098,FALSE,0
21-01-2010,5094.149902,5220.350098,5085.450195,5220.200195,FALSE,0
22-01-2010,5036,5094.149902,4954.850098,5094.149902,FALSE,0
25-01-2010,5007.899902,5035.700195,4983.049805,5034.549805,FALSE,0
27-01-2010,4853.100098,5008.5,4833.049805,5008.5,FALSE,0
28-01-2010,4867.25,4929.899902,4824.950195,4863,FALSE,0
29-01-2010,4882.049805,4893.700195,4766,4866.149902,FALSE,0
01-02-2010,4899.700195,4918.799805,4827.149902,4882.049805,FALSE,0
02-02-2010,4830.100098,4951.149902,4814.100098,4907.850098,FALSE,0
03-02-2010,4931.850098,4949.149902,4831,4831,FALSE,0
04-02-2010,4845.350098,4931.299805,4832.350098,4931.299805,FALSE,0
05-02-2010,4718.649902,4827,4692.350098,4819.649902,FALSE,0
08-02-2010,4760.399902,4799.049805,4675.399902,4755.350098,FALSE,0
09-02-2010,4792.649902,4810.399902,4739.350098,4760.549805,FALSE,0
10-02-2010,4757.200195,4826.850098,4748.100098,4793,FALSE,0
11-02-2010,4826.850098,4843.799805,4757.25,4757.25,FALSE,0
15-02-2010,4801.950195,4845.600098,4783.899902,4827.899902,FALSE,0
16-02-2010,4855.75,4880,4791.350098,4801.799805,FALSE,0
17-02-2010,4914,4929.700195,4857.600098,4858.649902,FALSE,0
18-02-2010,4887.75,4922.049805,4873.700195,4915.100098,FALSE,0
19-02-2010,4844.899902,4887.299805,4805.549805,4887.299805,FALSE,0
22-02-2010,4856.399902,4912.049805,4845.899902,4849.350098,FALSE,0
23-02-2010,4870.049805,4884.100098,4833.149902,4856.600098,FALSE,0
24-02-2010,4858.600098,4880.549805,4834.649902,4869.549805,FALSE,0
25-02-2010,4859.75,4880.149902,4835.600098,4859,FALSE,0
26-02-2010,4922.299805,4992,4858.450195,4858.5,FALSE,0
02-03-2010,5017,5029.450195,4935.350098,4935.600098,FALSE,0
03-03-2010,5088.100098,5093.25,5015.100098,5015.799805,FALSE,0
04-03-2010,5080.25,5096.950195,5049,5096.950195,FALSE,0
05-03-2010,5088.700195,5118.649902,5068.049805,5080.549805,FALSE,0
08-03-2010,5124,5147.100098,5092.149902,5092.149902,FALSE,0
09-03-2010,5101.5,5131.799805,5094.350098,5121.049805,FALSE,0
10-03-2010,5116.25,5137.399902,5092.049805,5101.600098,FALSE,0
11-03-2010,5133.399902,5152.600098,5102.100098,5116.350098,FALSE,0
12-03-2010,5137,5158.100098,5122.100098,5131.799805,FALSE,0
15-03-2010,5128.899902,5151.049805,5101.200195,5134.450195,FALSE,0
16-03-2010,5198.100098,5209.25,5125.700195,5128.950195,FALSE,0
17-03-2010,5231.899902,5260.5,5177.149902,5198.450195,FALSE,0
18-03-2010,5245.899902,5255.649902,5214.399902,5232.549805,FALSE,0
19-03-2010,5262.799805,5269.950195,5237.100098,5246.799805,FALSE,0
22-03-2010,5205.200195,5260.950195,5187.049805,5260.950195,FALSE,0
23-03-2010,5225.299805,5243.600098,5193.399902,5205.850098,FALSE,0
25-03-2010,5260.399902,5267.299805,5202.950195,5225.299805,FALSE,0
26-03-2010,5282,5293.75,5260.549805,5260.549805,FALSE,0
29-03-2010,5302.850098,5329.549805,5242.149902,5283.899902,FALSE,0
30-03-2010,5262.450195,5325,5251.350098,5302.950195,FALSE,0
31-03-2010,5249.100098,5293.899902,5235.149902,5260.399902,FALSE,0
01-04-2010,5290.5,5298.600098,5249.200195,5249.200195,FALSE,0
05-04-2010,5368.399902,5377.549805,5291.399902,5291.399902,FALSE,0
06-04-2010,5366,5388.649902,5351.700195,5369.649902,FALSE,0
07-04-2010,5374.649902,5399.649902,5345.049805,5365.700195,FALSE,0
08-04-2010,5304.450195,5383.649902,5290.25,5376.299805,FALSE,0
09-04-2010,5361.75,5377.450195,5302.25,5302.399902,FALSE,0
12-04-2010,5339.700195,5382.149902,5324.899902,5354.149902,FALSE,0
13-04-2010,5322.950195,5356.5,5301.700195,5340.850098,FALSE,0
15-04-2010,5273.600098,5373.149902,5265.299805,5323.299805,FALSE,0
16-04-2010,5262.600098,5283.049805,5237.549805,5273.399902,FALSE,0
19-04-2010,5203.649902,5279.049805,5160.899902,5279.049805,FALSE,0
20-04-2010,5230.100098,5257.25,5208.299805,5208.299805,FALSE,0
21-04-2010,5244.899902,5266.299805,5230.299805,5230.299805,FALSE,0
22-04-2010,5269.350098,5331.799805,5221.100098,5248.600098,FALSE,0
23-04-2010,5304.100098,5311.049805,5269.649902,5269.649902,FALSE,0
26-04-2010,5322.450195,5342.350098,5299.350098,5299.350098,FALSE,0
27-04-2010,5308.350098,5330.549805,5301.399902,5322.100098,FALSE,0
28-04-2010,5215.450195,5308.25,5202.450195,5308.200195,FALSE,0
29-04-2010,5254.149902,5264.75,5214.799805,5215.25,FALSE,0
30-04-2010,5278,5294.799805,5254.200195,5254.200195,FALSE,0
03-05-2010,5222.75,5278.700195,5210.049805,5278.399902,FALSE,0
04-05-2010,5148.5,5250.149902,5134.850098,5223.899902,FALSE,0
05-05-2010,5124.899902,5148.350098,5056.5,5148.350098,FALSE,0
